H3O3P,Phosphorous acid,-964.4,,,,,,,,
H3O4P,Phosphoric acid (orthophosphoric acid),-1284.4,-1271.7,,-1124.3,-1123.6,,110.5,150.8,
H3P,Phosphine,,,5.4,,,13.4,,,210.2
H3Sb,Stibine,,,145.1,,,147.8,,,232.8
H3U,Uranium(III) hydride,-127.2,,,-72.8,,,63.7,,
H4IN,Ammonium iodide,-201.4,,,-112.5,,,117.0,,
H4N2,Hydrazine,,50.6,95.4,,149.3,159.4,,121.2,238.5
H4N2O2,Ammonium nitrite,-256.5,,,,,,,,
H4N2O3,Ammonium nitrate,-365.6,,,-183.9,,,151.1,,
H4N4,Ammonium azide,115.5,,,274.2,,,112.5,,
H4O4Si,Orthosilicic acid,-1481.1,,,-1332.9,,,192.0,,
H4O7P2,Pyrophosphoric acid,-2241.0,-2231.7,,,,,,,
H4P2,Diphosphine,,-5.0,20.9,,,,,,
H4Si,Silane,,,34.3,,,56.9,,,204.6
H4Sn,Stannane,,,162.8,,,188.3,,,227.7
H5NO,Ammonium hydroxide,,-361.2,,,-254.0,,,165.6,
H5NO3S,Ammonium hydrogen sulfite,-768.6,,,,,,,,
H5NO4S,Ammonium hydrogen sulfate,-1027,,,,,,,,
H6Si2,Disilane,,,80.3,,,127.3,,,272.7
H8N2O4S,Ammonium sulfate,-1180.9,,,-901.7,,,220.1,,
H8Si3,Trisilane,,92.5,120.9,,,,,,
H9N2O4P,Diammonium hydrogen phosphate,-1566.9,,,,,,,,
H12N3O4P,Ammonium phosphate,-1671.9,,,,,,,,
He,Helium,,,0.0,,,,,,126.2
HfO2,Hafnium oxide,-1144.7,,,-1088.2,,,59.3,,
Hg,Mercury,,0.0,61.4,,,31.8,,75.9,175.0
HgI2,Mercury(II) iodide,-105.4,,,-101.7,,,180.0,,
HgO,Mercury(II) oxide,-90.8,,,-58.5,,,70.3,,
HgO4S,Mercury(II) sulfate,-707.5,,,,,,,,
HgS,Mercury(II) sulfide,-58.2,,,-50.6,,,82.4,,
HgTe,Mercury(II) telluride,-42.0,,,,,,,,
Hg2,Dimercury,,,108.8,,,68.2,,,288.1
Hg2I2,Mercury(I) iodide,-121.3,,,-111.0,,,233.5,,
Hg2O4S,Mercury(I) sulfate,-743.1,,,-625.8,,,200.7,,
Ho,Holmium,0.0,,300.8,,,264.8,75.3,,195.6
Ho2O3,Holmium oxide,-1880.7,,,-1791.1,,,158.2,,
I,Iodine (atomic),,,106.8,,,70.2,,,180.8
IIn,Indium(I) iodide,-116.3,,7.5,-120.5,,-37.7,130.0,,267.3
IK,Potassium iodide,-327.9,,,-324.9,,,106.3,,
IKO3,Potassium iodate,-501.4,,,-418.4,,,151.5,,
IKO4,Potassium periodate,-467.2,,,-361.4,,,175.7,,
ILi,Lithium iodide,-270.4,,,-270.3,,,86.8,,
INa,Sodium iodide,-287.8,,,-286.1,,,98.5,,
INaO3,Sodium iodate,-481.8,,,,,,,,
INaO4,Sodium periodate,-429.3,,,-323.0,,,163.0,,
IO,Iodine monoxide,,,175.1,,,149.8,,,245.5
IRb,Rubidium iodide,-333.8,,,-328.9,,,118.4,,
ITl,Thallium(I) iodide,-123.8,,7.1,-125.4,,,127.6,,
I2,Iodine (rhombic),0.0,,62.4,,,19.3,116.1,,260.7
I2Mg,Magnesium iodide,-364.0,,,-358.2,,,129.7,,
I2Ni,Nickel(II) iodide,-78.2,,,,,,,,
I2Pb,Lead(II) iodide,-175.5,,,-173.6,,,174.9,,
I2Sn,Tin(II) iodide,-143.5,,,,,,,,
I2Sr,Strontium iodide,-558.1,,,,,,,,
I2Zn,Zinc iodide,-208.0,,,-209.0,,,161.1,,
I3In,Indium(III) iodide,-238.0,,-120.5,,,,,,
I3La,Lanthanum iodide,-668.9,,,,,,,,
I3Lu,Lutetium iodide,-548.0,,,,,,,,
I3P,Phosphorus(III) iodide,-45.6,,,,,,,,374.4
I3Ru,Ruthenium(III) iodide,-65.7,,,,,,,,
I3Sb,Antimony(III) iodide,-100.4,,,,,,,,
I4Pt,Platinum(IV) iodide,-72.8,,,,,,,,
I4Si,Tetraiodosilane,-189.5,,,,,,,,
I4Sn,Tin(IV) iodide,,,,,,,,,446.1
I4Ti,Titanium(IV) iodide,-375.7,,-277.8,-371.5,,,249.4,,
I4V,Vanadium(IV) iodide,,,-122.6,,,,,,
I4Zr,Zirconium(IV) iodide,-481.6,,,,,,,,
In,Indium,0.0,,243.3,,,208.7,57.8,,173.8
InP,Indium phosphide,-88.7,,,-77.0,,,59.8,,
InS,Indium(II) sulfide,-138.1,,238.0,-131.8,,,67.0,,
InSb,Indium antimonide,-30.5,,344.3,-25.5,,,86.2,,
In2,Diindium,,,380.9,,,,,,
In2O3,Indium(III) oxide,-925.8,,,-830.7,,,104.2,,
In2S3,Indium(III) sulfide,-427.0,,,-412.5,,,163.6,,
Ir,Iridium,0.0,,665.3,,,617.9,35.5,,193.6
IrO2,Iridium(IV) oxide,-274.1,,,,,,,,
IrS2,Iridium(IV) sulfide,-138.0,,,,,,,,
Ir2S3,Iridium(III) sulfide,-234.0,,,,,,,,
K,Potassium,0.0,,89.0,,,60.5,64.7,,160.3
KMnO4,Potassium permanganate,-837.2,,,-737.6,,,171.7,,
KNO2,Potassium nitrite,-369.8,,,-306.6,,,152.1,,
KNO3,Potassium nitrate,-494.6,,,-394.9,,,133.1,,
KNa,Potassium sodium,,6.3,,,,,,,
KO2,Potassium superoxide,-284.9,,,-239.4,,,116.7,,
